1	0	-31543	-31464	-31354	-31212	-31060	-30926	-30805	-30715	-30654	-30594	-30554	-30500	-30421	-30334	-30220	-30100	-29992	-29873	-29775	-29692	-29619.4	-29554.63	-29496.57	-29442	10.3
1	1	-2298	-2298	-2297	-2306	-2317	-2318	-2316	-2306	-2292	-2285	-2250	-2215	-2169	-2119	-2068	-2013	-1956	-1905	-1848	-1784	-1728.2	-1669.05	-1586.42	-1501	18.1
2	0	-677	-728	-769	-802	-839	-893	-951	-1018	-1106	-1244	-1341	-1440	-1555	-1662	-1781	-1902	-1997	-2072	-2131	-2200	-2267.7	-2337.24	-2396.06	-2445.1	-8.7
2	1	2905	2928	2948	2956	2959	2969	2980	2984	2981	2990	2998	3003	3002	2997	3000	3010	3027	3044	3059	3070	3068.4	3047.69	3026.34	3012.9	-3.3
2	2	924	1041	1176	1309	1407	1471	1517	1550	1566	1578	1576	1581	1590	1594	1611	1632	1663	1687	1686	1681	1670.9	1657.76	1668.17	1676.7	2.1
3	0	1022	1037	1058	1084	1111	1140	1172	1206	1240	1282	1297	1302	1302	1297	1287	1276	1281	1296	1314	1335	1339.6	1336.3	1339.85	1350.7	3.4
3	1	-1469	-1494	-1524	-1559	-1600	-1645	-1692	-1740	-1790	-1834	-1889	-1944	-1992	-2038	-2091	-2144	-2180	-2208	-2239	-2267	-2288	-2305.83	-2326.54	-2352.3	-5.5
3	2	1256	1239	1223	1212	1205	1202	1205	1215	1232	1255	1274	1288	1289	1292	1278	1260	1251	1247	1248	1249	1252.1	1246.39	1232.1	1225.6	-0.7
3	3	572	635	705	778	839	881	907	918	916	913	896	882	878	856	838	830	833	829	802	759	714.5	672.51	633.73	582	-10.1
4	0	876	880	884	887	889	891	896	903	914	944	954	958	957	957	952	946	938	936	939	940	932.3	920.55	912.66	907.6	-0.7
4	1	628	643	660	678	695	711	727	744	762	776	792	796	800	804	800	791	782	780	780	780	786.8	797.96	808.97	813.7	0.2
4	2	660	653	644	631	616	601	584	565	550	544	528	510	504	479	461	438	398	361	325	290	250	210.65	166.58	120.4	-9.1
4	3	-361	-380	-400	-416	-424	-426	-422	-415	-405	-421	-408	-397	-394	-390	-395	-405	-419	-424	-423	-418	-403	-379.86	-356.83	-334.9	4.1
